sequence,param,risk
"['initial', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_reach_in_cover', 'human_retract_hand', 'human_press_button']","[0, 1, 1]",0.5708347394382418
"['initial', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.18095969245677263, 1.0982186794178395, 1.1805793123116954]",2.0565459170291773
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_press_button']","[0.04127624438727401, 0.9526423943676472, 1.1418091089533575]",0.6954604228759769
"['initial', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.18775526416196753, 1.0453307282186834, 1.0221303164323103]",1.9712692409841797
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition']","[-0.10573842783578478, 0.8779813228279421, 1.4547941211717597]",0.7604075440180379
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[-0.1740023295492598, 1.033818490280772, 1.422033948830951]",0.9716593176676948
"['initial', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.0013586005533807177, 1.1271931457718527, 1.3289454693795546]",2.095493696000707
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[0.013393494261108835, 1.1420502963094399, 1.0748440674857007]",0.8609441220277677
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_reach_in_housing']","[0.18551861576888767, 1.1092552485960896, 1.2207754111527045]",0.8548447868993918
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand', 'human_transition']","[-0.02175709234034459, 1.0723158278307419, 1.0717566073583542]",0.8768347851874978
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.07897198747116985, 1.064168675687089, 1.471512741673945]",1.7137474501819603
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition']","[-0.13027680880572978, 0.8704357757572335, 1.386424673153353]",0.9195792491545
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition']","[-0.10295092737697056, 0.9047069115878819, 1.2023962534325159]",0.7444426477611147
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_transition']","[0.040841947495579733, 0.8251094495246084, 1.2446930582608822]",0.7500647678109706
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[-0.004041696483625484, 0.8663185762128831, 1.2206734087267939]",0.8027098939728123
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button']","[-0.024568666412179307, 0.8259762854891209, 1.1748189817843713]",0.9077743689431454
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition']","[-0.01654388647664623, 0.9746043258148475, 1.2505560924211279]",0.7550207387989728
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[-0.030675758932903807, 1.0598116472949501, 1.4547702987618343]",0.9083819363961263
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_transition']","[-0.07077524775531294, 0.8131598344058393, 1.0977891521252698]",0
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[0.1404858614767956, 0.8986162117667269, 1.1446556593801136]",0.7714640409056374
"['initial', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[0.06800052665867218, 0.856509412410809, 1.2975663818443937]",0.7913766762951138
"['initial', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_reach_in_housing', 'human_retract_hand', 'human_reach_in_cover', 'human_retract_hand', 'human_mount_cover']","[0.19450943498611728, 1.0737506419411242, 1.154251936404161]",0
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_reach_in_housing']","[0.050906705208911274, 1.0508515566818344, 1.1047968805725803]",1.5565732261120795
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_reach_in_housing', 'human_retract_hand', 'human_press_button']","[0.1188477340013453, 1.1295547248579556, 1.1740022460173745]",0.7383350196924608
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition']","[0.05153661593629755, 0.9129938407739429, 1.3475345309600288]",0.7580219354575398
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_press_button']","[0.16321452636606115, 0.9618237031747272, 1.3197494646218637]",0.756176843434211
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_reach_in_housing']","[0.16239592864145508, 1.141310556164408, 1.2935938368734397]",0.7330225211871831
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[0.16435100374680717, 0.867403754486817, 1.3014614656282566]",0.8027098939728123
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition']","[0.03670899071593797, 1.0605827817979372, 1.0369344194994945]",0.8568031397920481
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[0.04229630287398564, 0.8963389520899367, 1.153861567733635]",0.906946015299884
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[0.028011622264721037, 0.8295557020638696, 1.210827694057402]",0.764194501901562
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[-0.11946909028487096, 1.1391936298848269, 1.2871205366804663]",0.7330225211871831
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[0.026071689623494265, 1.1438945410703782, 1.1985141199997111]",0.738397866071729
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition']","[-0.15303402362449448, 1.115728932215223, 1.1727013960474655]",0.7399897530459671
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[-0.16471716941173478, 0.9756972389754338, 1.4404538473028574]",0.7534341937600832
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_mount_cover', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition']","[0.16958985288609085, 0.9778976133659167, 1.2354041323432883]",0.8299686765216521
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition']","[0.19441036166002967, 0.8700371603780556, 1.412084383605344]",0.8520913511682022
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button']","[-0.04470420123834534, 0.8388129217412996, 1.3205771265646773]",0.8027098939728123
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition']","[0.17288124817657202, 0.8749853510858232, 1.316940725557983]",0.8520913511682022
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.028005002226731884, 1.1898630616352368, 1.3967990499025311]",2.210741522054416
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_reach_parts', 'human_retract_hand']","[0.04216201618861476, 0.866197220417778, 1.4781734308221592]",0.7673812146410469
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_mount_cover']","[-0.16014297712985842, 1.0258234809650832, 1.4179856150805095]",0.7447729392175928
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_press_button']","[-0.04167671621424071, 1.1053710294627217, 1.0388706041326294]",0.7285417445732466
